search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8457827B1,Modifying behavior of autonomous vehicle based on predicted behavior of other vehicles ,Google Inc.,"David I. Ferguson, Dmitri A. Dolgov",2012-03-15,2012-03-15,2013-06-04,2013-06-04,https://patents.google.com/patent/US8457827B1/en
US20150248131A1,Remote Assistance for Autonomous Vehicles in Predetermined Situations ,Google Inc.,"Nathaniel Fairfield, Joshua Seth Herbach, Vadim Furman",2014-03-03,2014-03-03,2015-09-03,,https://patents.google.com/patent/US20150248131A1/en
US20140303827A1,Systems and Methods for Transitioning Control of an Autonomous Vehicle to a Driver ,Google Inc.,"Dmitri Dolgov, Andrew Schultz, Daniel Trawick Egnor, Christopher Urmson",2013-04-05,2013-04-05,2014-10-09,,https://patents.google.com/patent/US20140303827A1/en
US8874301B1,Autonomous vehicle with driver presence and physiological monitoring ,"Ford Global Technologies, Llc","Manoharprasad K. Rao, Mark A. Cuddihy, Jialiang Le",2013-07-09,2013-07-09,2014-10-28,2014-10-28,https://patents.google.com/patent/US8874301B1/en
US20150066284A1,Autonomous vehicle control for impaired driver ,"Ford Global Technologies, Llc",Wilford Trent Yopp,2013-09-05,2013-09-05,2015-03-05,,https://patents.google.com/patent/US20150066284A1/en
US8818608B2,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2013-12-03,2014-08-26,2014-08-26,https://patents.google.com/patent/US8818608B2/en
US8527199B1,Automatic collection of quality control statistics for maps used in autonomous driving ,Google Inc.,"Donald Jason Burnette, Andrew Hughes Chatham, Matthew Paul McNaughton",2012-05-17,2012-05-17,2013-09-03,2013-09-03,https://patents.google.com/patent/US8527199B1/en
US9194168B1,Unlock and authentication for autonomous vehicles ,Google Inc.,"David Tse-Zhou Lu, Calvin Karl Johnson, Renaud-Roland Hubert",2014-05-23,2014-11-21,2015-11-24,2015-11-24,https://patents.google.com/patent/US9194168B1/en
US20140297116A1,Self-driving vehicle with integrated active suspension ,Levant Power Corporation,"Zackary Martin Anderson, Marco Giovanardi",2013-03-15,2014-04-01,2014-10-02,,https://patents.google.com/patent/US20140297116A1/en
US8700251B1,System and method for automatically detecting key behaviors by vehicles ,Google Inc.,"Jiajun Zhu, David I. Ferguson, Dmitri A. Dolgov",2012-04-13,2012-04-13,2014-04-15,2014-04-15,https://patents.google.com/patent/US8700251B1/en
US20140214255A1,Modifying behavior of autonomous vehicles based on sensor blind spots and limitations ,Google Inc.,"Dmitri A. Dolgov, Christopher Paul Urmson",2013-01-25,2013-01-25,2014-07-31,,https://patents.google.com/patent/US20140214255A1/en
US8718861B1,Determining when to drive autonomously ,Google Inc.,"Michael Steven Montemerlo, Hyman Jack Murveit, Christopher Paul Urmson, Dmitri A. Dolgov, Philip Nemec",2012-04-11,2012-04-11,2014-05-06,2014-05-06,https://patents.google.com/patent/US8718861B1/en
US20140330479A1,Predictive Reasoning for Controlling Speed of a Vehicle ,Google Inc.,"Dmitri Dolgov, Dave Ferguson",2013-05-03,2013-05-03,2014-11-06,,https://patents.google.com/patent/US20140330479A1/en
US8849494B1,Data selection by an autonomous vehicle for trajectory modification ,Google Inc.,"Joshua Seth Herbach, Nathaniel Fairfield, Peter Colijn",2013-03-15,2013-03-15,2014-09-30,2014-09-30,https://patents.google.com/patent/US8849494B1/en
US8996224B1,Detecting that an autonomous vehicle is in a stuck condition ,Google Inc.,"Joshua Seth Herbach, Nathaniel Fairfield",2013-03-15,2013-03-15,2015-03-31,2015-03-31,https://patents.google.com/patent/US8996224B1/en
US20130245877A1,Actively Modifying a Field of View of an Autonomous Vehicle in View of Constraints ,Google Inc.,"David I. Ferguson, Jiajun Zhu",2012-03-16,2012-03-16,2013-09-19,,https://patents.google.com/patent/US20130245877A1/en
US20130211656A1,Autonomous driving apparatus and method for vehicle ,Electronics And Telecommunications Research Institute,"Kyoung-Hwan AN, Kyung-Bok SUNG, Dong-Yong Kwak",2012-02-09,2012-08-30,2013-08-15,,https://patents.google.com/patent/US20130211656A1/en
US8880270B1,Location-aware notifications and applications for autonomous vehicles ,Google Inc.,"Dave Ferguson, Jiajun Zhu, Manuel Christian Clement",2013-01-08,2013-01-08,2014-11-04,2014-11-04,https://patents.google.com/patent/US8880270B1/en
US20130238170A1,Autonomous vehicle and method for coordinating the paths of multiple autonomous vehicles ,John Solomon Klinger,John Solomon Klinger,2012-03-09,2012-03-09,2013-09-12,,https://patents.google.com/patent/US20130238170A1/en
US20150166062A1,Vehicle control system with traffic driving control ,Magna Electronics Inc.,"Nathaniel S. Johnson, Christopher L. Van Dan Elzen, Christoph Klas",2013-12-12,2014-12-12,2015-06-18,,https://patents.google.com/patent/US20150166062A1/en
US8909391B1,Responsive navigation of an unmanned aerial vehicle to a remedial facility ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick",2012-12-28,2012-12-28,2014-12-09,2014-12-09,https://patents.google.com/patent/US8909391B1/en
US20140088855A1,Determining changes in a driving environment based on vehicle behavior ,Google Inc.,David I. Ferguson,2012-09-27,2012-09-27,2014-03-27,,https://patents.google.com/patent/US20140088855A1/en
US20150339928A1,Using Autonomous Vehicles in a Taxi Service ,Madhusoodhan Ramanujam,Madhusoodhan Ramanujam,2015-08-12,2015-08-12,2015-11-26,,https://patents.google.com/patent/US20150339928A1/en
US20150149019A1,Autonomous vehicle identification ,"Ford Global Technologies, Llc","Thomas Edward Pilutti, Matt Y. Rupp, Roger Arnold Trombley, Andrew Waldis, Wilford Trent Yopp",2013-11-22,2013-11-22,2015-05-28,,https://patents.google.com/patent/US20150149019A1/en
